,0
KBA13_KW_61_120,3.0
KBA13_KW_70,3.0
KBA13_KW_80,2.0
KBA13_KW_90,3.0
KBA13_MAZDA,3.0
KBA13_MERCEDES,3.0
KBA13_MOTOR,4.0
KBA13_NISSAN,3.0
KBA13_OPEL,3.0
KBA13_PEUGEOT,2.0
KBA13_RENAULT,2.0
KBA13_SEG_GELAENDEWAGEN,3.0
KBA13_SEG_GROSSRAUMVANS,5.0
KBA13_SEG_KLEINST,2.0
KBA13_SEG_KLEINWAGEN,2.0
KBA13_SEG_KOMPAKTKLASSE,3.0
KBA13_SEG_MINIVANS,3.0
KBA13_SEG_MINIWAGEN,1.0
KBA13_SEG_MITTELKLASSE,3.0
KBA13_SEG_OBEREMITTELKLASSE,4.0
KBA13_SEG_OBERKLASSE,3.0
KBA13_SEG_SONSTIGE,4.0
KBA13_SEG_SPORTWAGEN,4.0
KBA13_SEG_UTILITIES,4.0
KBA13_SEG_VAN,4.0
KBA13_SEG_WOHNMOBILE,4.0
KBA13_SITZE_4,3.0
KBA13_SITZE_5,1.0
KBA13_SITZE_6,5.0
KBA13_TOYOTA,2.0
KBA13_VORB_0,4.0
KBA13_VORB_1,3.0
KBA13_VORB_1_2,3.0
KBA13_VORB_2,3.0
KBA13_VORB_3,1.0
KBA13_VW,4.0
KKK,1.0
KOMBIALTER,4.0
KONSUMNAEHE,5.0
KONSUMZELLE,0.0
LP_FAMILIE_FEIN,2.0
LP_FAMILIE_GROB,2.0
LP_LEBENSPHASE_FEIN,20.0
LP_LEBENSPHASE_GROB,5.0
LP_STATUS_GROB,5.0
MIN_GEBAEUDEJAHR,1992.0
MOBI_RASTER,3.0
MOBI_REGIO,4.0
NATIONALITAET_KZ,1.0
ONLINE_AFFINITAET,3.0
ORTSGR_KLS9,2.0
OST_WEST_KZ,W
PLZ8_ANTG1,3.0
PLZ8_ANTG2,3.0
PLZ8_ANTG3,1.0
PLZ8_ANTG4,0.0
PLZ8_BAUMAX,1.0
PLZ8_GBZ,5.0
PLZ8_HHZ,5.0
PRAEGENDE_JUGENDJAHRE,4.0
REGIOTYP,1.0
RELAT_AB,1.0
RETOURTYP_BK_S,5.0
RT_KEIN_ANREIZ,1.0
RT_SCHNAEPPCHEN,5.0
RT_UEBERGROESSE,3.0
SEMIO_DOM,1
SEMIO_ERL,3
SEMIO_FAM,5
SEMIO_KAEM,1
SEMIO_KRIT,3
SEMIO_KULT,4
SEMIO_LUST,7
SEMIO_MAT,6
SEMIO_PFLICHT,2
SEMIO_RAT,1
SEMIO_REL,2
SEMIO_SOZ,6
SEMIO_TRADV,1
SEMIO_VERT,6
SHOPPER_TYP,3.0
SOHO_KZ,0.0
STRUKTURTYP,3.0
UMFELD_ALT,4.0
UMFELD_JUNG,4.0
UNGLEICHENN_FLAG,0.0
VERDICHTUNGSRAUM,8.0
VERS_TYP,1.0
VHA,0.0
VHN,3.0
VK_DHT4A,5.0
VK_DISTANZ,3.0
VK_ZG11,2.0
W_KEIT_KIND_HH,6.0
WOHNLAGE,7.0
ZABEOTYP,3
PRODUCT_GROUP,COSMETIC_AND_FOOD
CUSTOMER_GROUP,MULTI_BUYER
ONLINE_PURCHASE,0
ANREDE_KZ,1
ALTERSKATEGORIE_GROB,4.0
